iter	Passed	Remaining
0	8	8623
1	11	5791
2	14	4840
3	17	4325
4	21	4332
5	25	4157
6	28	4009
7	31	3902
8	34	3791
9	37	3704
10	40	3633
11	43	3588
12	46	3544
13	49	3502
14	52	3474
15	55	3426
16	58	3381
17	61	3337
18	63	3302
19	67	3286
20	70	3263
21	73	3250
22	76	3238
23	79	3213
24	81	3187
25	84	3182
26	87	3162
27	90	3151
28	98	3292
29	101	3282
30	105	3294
31	108	3273
32	111	3257
33	114	3244
34	117	3229
35	120	3214
36	123	3209
37	126	3198
38	129	3186
39	132	3171
40	134	3153
41	137	3139
42	140	3127
43	143	3128
44	146	3117
45	149	3107
46	152	3100
47	155	3091
48	158	3082
49	161	3076
50	164	3066
51	167	3056
52	170	3043
53	173	3032
54	175	3021
55	178	3011
56	181	3002
57	184	2992
58	186	2982
59	189	2976
60	192	2966
61	195	2958
62	198	2950
63	201	2941
64	204	2937
65	207	2930
66	210	2927
67	212	2919
68	215	2914
69	218	2906
70	221	2898
71	224	2891
72	227	2883
73	229	2875
74	233	2877
75	236	2875
76	239	2868
77	242	2864
78	245	2858
79	247	2851
80	250	2843
81	253	2837
82	256	2831
83	259	2825
84	261	2819
85	264	2813
86	267	2808
87	270	2800
88	272	2792
89	275	2784
90	278	2778
91	280	2770
92	283	2763
93	286	2756
94	288	2749
95	291	2743
96	294	2737
97	296	2731
98	299	2726
99	302	2720
100	304	2713
101	307	2706
102	310	2700
103	313	2698
104	315	2693
105	318	2688
106	321	2686
107	325	2686
108	328	2682
109	330	2677
110	333	2672
111	336	2667
112	339	2666
113	342	2662
114	345	2658
115	348	2652
116	350	2646
117	353	2642
118	356	2638
119	359	2632
120	361	2627
121	364	2622
122	367	2618
123	370	2617
124	373	2613
125	376	2611
126	379	2607
127	382	2604
128	385	2605
129	388	2602
130	391	2599
131	394	2595
132	397	2591
133	400	2587
134	403	2584
135	406	2581
136	409	2577
137	412	2574
138	414	2570
139	418	2568
140	420	2564
141	423	2560
142	426	2553
143	428	2549
144	431	2545
145	434	2541
146	437	2537
147	440	2533
148	442	2529
149	445	2525
150	448	2522
151	451	2519
152	454	2516
153	457	2513
154	460	2510
155	463	2507
156	466	2504
157	469	2500
158	472	2496
159	474	2492
160	477	2489
161	480	2485
162	483	2482
163	486	2477
164	488	2474
165	491	2470
166	494	2468
167	497	2464
168	500	2461
169	503	2458
170	506	2456
171	510	2458
172	514	2458
173	517	2456
174	520	2453
175	523	2451
176	526	2447
177	530	2448
178	533	2445
179	536	2443
180	538	2438
181	541	2435
182	544	2432
183	548	2430
184	551	2427
185	554	2426
186	557	2423
187	560	2420
188	563	2417
189	566	2414
190	569	2410
191	572	2408
192	575	2405
193	578	2402
194	580	2398
195	583	2394
196	586	2392
197	589	2388
198	592	2385
199	595	2381
200	598	2378
201	601	2374
202	603	2370
203	606	2367
204	609	2364
205	612	2361
206	615	2357
207	618	2355
208	621	2351
209	624	2348
210	627	2345
211	630	2341
212	633	2339
213	636	2336
214	639	2333
215	642	2330
216	645	2328
217	648	2325
218	650	2320
219	653	2316
220	656	2312
221	658	2307
222	661	2303
223	663	2299
224	666	2294
225	668	2289
226	671	2285
227	673	2281
228	676	2277
229	678	2272
230	681	2268
231	684	2264
232	686	2260
233	689	2256
234	691	2252
235	694	2248
236	696	2243
237	699	2239
238	701	2234
239	704	2230
240	707	2227
241	710	2225
242	713	2222
243	716	2219
244	719	2216
245	721	2212
246	724	2208
247	726	2204
248	729	2199
249	732	2196
250	734	2192
251	737	2189
252	740	2187
253	743	2183
254	746	2180
255	749	2177
256	752	2174
257	754	2170
258	757	2166
259	759	2162
260	762	2158
261	764	2154
262	767	2150
263	770	2146
264	772	2143
265	775	2139
266	778	2136
267	780	2132
268	783	2129
269	786	2125
270	788	2122
271	791	2118
272	794	2114
273	796	2111
274	799	2108
275	802	2104
276	804	2100
277	807	2096
278	809	2092
279	812	2089
280	815	2085
281	817	2082
282	820	2078
283	822	2074
284	825	2070
285	827	2066
286	830	2062
287	832	2058
288	835	2055
289	837	2051
290	840	2047
291	842	2043
292	845	2040
293	848	2037
294	850	2033
295	853	2029
296	855	2025
297	858	2021
298	860	2017
299	862	2013
300	865	2009
301	867	2005
302	870	2001
303	872	1997
304	875	1993
305	877	1990
306	880	1986
307	882	1983
308	885	1979
309	887	1974
310	889	1971
311	892	1968
312	895	1964
313	897	1961
314	900	1957
315	902	1953
316	904	1949
317	907	1946
318	910	1943
319	912	1940
320	915	1936
321	917	1932
322	920	1929
323	923	1925
324	925	1922
325	928	1918
326	930	1915
327	933	1911
328	935	1908
329	938	1904
330	941	1902
331	943	1898
332	945	1894
333	948	1891
334	951	1888
335	953	1884
336	956	1881
337	958	1877
338	961	1874
339	963	1870
340	966	1867
341	968	1863
342	971	1860
343	973	1857
344	976	1854
345	979	1851
346	982	1848
347	984	1845
348	987	1842
349	990	1839
350	993	1836
351	995	1833
352	998	1829
353	1000	1826
354	1003	1822
355	1005	1819
356	1007	1815
357	1010	1812
358	1012	1808
359	1015	1805
360	1017	1801
361	1020	1798
362	1022	1794
363	1025	1791
364	1027	1788
365	1030	1784
366	1032	1781
367	1035	1777
368	1038	1775
369	1040	1771
370	1043	1768
371	1045	1765
372	1048	1761
373	1050	1758
374	1053	1755
375	1055	1752
376	1058	1748
377	1060	1745
378	1063	1742
379	1065	1738
380	1068	1735
381	1070	1732
382	1073	1729
383	1075	1725
384	1078	1722
385	1080	1719
386	1083	1715
387	1085	1712
388	1088	1709
389	1090	1705
390	1093	1702
391	1095	1699
392	1098	1696
393	1101	1693
394	1104	1691
395	1106	1687
396	1109	1684
397	1111	1681
398	1114	1678
399	1117	1675
400	1119	1672
401	1122	1669
402	1124	1666
403	1127	1662
404	1129	1659
405	1132	1656
406	1134	1653
407	1137	1649
408	1139	1646
409	1142	1643
410	1144	1640
411	1147	1637
412	1149	1633
413	1152	1630
414	1154	1627
415	1156	1624
416	1159	1620
417	1161	1617
418	1164	1614
419	1167	1611
420	1169	1608
421	1172	1605
422	1174	1602
423	1176	1598
424	1179	1596
425	1182	1593
426	1184	1589
427	1187	1586
428	1189	1583
429	1192	1580
430	1195	1577
431	1197	1574
432	1200	1571
433	1202	1568
434	1205	1565
435	1208	1563
436	1211	1560
437	1214	1557
438	1216	1555
439	1219	1552
440	1222	1549
441	1225	1547
442	1228	1544
443	1231	1542
444	1234	1539
445	1237	1537
446	1240	1534
447	1243	1531
448	1245	1528
449	1248	1525
450	1250	1522
451	1253	1519
452	1255	1516
453	1257	1512
454	1260	1509
455	1262	1506
456	1265	1503
457	1267	1500
458	1270	1497
459	1273	1494
460	1275	1491
461	1278	1488
462	1280	1485
463	1283	1482
464	1285	1479
465	1288	1476
466	1291	1473
467	1293	1470
468	1296	1467
469	1299	1465
470	1302	1462
471	1305	1460
472	1308	1458
473	1312	1456
474	1315	1453
475	1318	1451
476	1321	1448
477	1324	1446
478	1327	1443
479	1329	1440
480	1332	1438
481	1335	1435
482	1338	1432
483	1341	1430
484	1344	1427
485	1347	1425
486	1350	1422
487	1353	1419
488	1356	1417
489	1359	1415
490	1362	1412
491	1365	1409
492	1368	1407
493	1371	1404
494	1373	1401
495	1376	1398
496	1379	1395
497	1381	1392
498	1384	1389
499	1386	1386
500	1389	1383
501	1391	1380
502	1394	1377
503	1397	1374
504	1399	1371
505	1402	1368
506	1404	1365
507	1407	1362
508	1409	1359
509	1411	1356
510	1414	1353
511	1416	1350
512	1419	1347
513	1421	1344
514	1424	1341
515	1426	1338
516	1429	1335
517	1431	1332
518	1434	1329
519	1436	1326
520	1439	1323
521	1441	1320
522	1444	1317
523	1446	1314
524	1449	1311
525	1451	1308
526	1454	1305
527	1457	1302
528	1459	1299
529	1462	1296
530	1465	1294
531	1468	1291
532	1471	1288
533	1473	1286
534	1476	1283
535	1478	1280
536	1481	1277
537	1483	1274
538	1486	1271
539	1488	1268
540	1491	1265
541	1493	1262
542	1496	1259
543	1498	1256
544	1502	1254
545	1504	1251
546	1507	1248
547	1510	1245
548	1512	1242
549	1515	1239
550	1518	1237
551	1520	1234
552	1523	1231
553	1525	1228
554	1528	1225
555	1530	1222
556	1533	1219
557	1535	1216
558	1538	1213
559	1540	1210
560	1543	1207
561	1546	1205
562	1549	1202
563	1551	1199
564	1554	1196
565	1557	1193
566	1559	1191
567	1562	1188
568	1565	1185
569	1567	1182
570	1570	1179
571	1573	1177
572	1575	1174
573	1578	1171
574	1581	1169
575	1584	1166
576	1586	1163
577	1589	1160
578	1592	1157
579	1595	1155
580	1598	1152
581	1601	1149
582	1603	1147
583	1606	1144
584	1609	1141
585	1612	1139
586	1614	1136
587	1617	1133
588	1620	1130
589	1623	1128
590	1626	1125
591	1629	1123
592	1632	1120
593	1634	1117
594	1637	1114
595	1640	1111
596	1641	1108
597	1644	1105
598	1646	1102
599	1649	1099
600	1651	1096
601	1654	1093
602	1656	1090
603	1659	1087
604	1661	1084
605	1664	1082
606	1666	1079
607	1669	1076
608	1671	1073
609	1674	1070
610	1676	1067
611	1679	1064
612	1682	1061
613	1684	1059
614	1687	1056
615	1689	1053
616	1692	1050
617	1695	1047
618	1697	1044
619	1700	1042
620	1703	1039
621	1705	1036
622	1707	1033
623	1710	1030
624	1712	1027
625	1715	1024
626	1718	1022
627	1720	1019
628	1723	1016
629	1726	1014
630	1729	1011
631	1732	1008
632	1734	1005
633	1737	1002
634	1739	1000
635	1742	997
636	1744	994
637	1747	991
638	1749	988
639	1752	985
640	1754	982
641	1757	980
642	1760	977
643	1762	974
644	1765	971
645	1768	968
646	1770	966
647	1773	963
648	1776	960
649	1778	957
650	1781	954
651	1783	952
652	1786	949
653	1789	946
654	1791	943
655	1794	941
656	1797	938
657	1799	935
658	1802	932
659	1805	929
660	1807	927
661	1810	924
662	1812	921
663	1815	918
664	1817	915
665	1820	912
666	1822	910
667	1825	907
668	1827	904
669	1830	901
670	1833	898
671	1835	896
672	1838	893
673	1841	890
674	1844	888
675	1847	885
676	1850	882
677	1853	880
678	1856	877
679	1859	874
680	1861	872
681	1864	869
682	1867	866
683	1870	863
684	1872	861
685	1875	858
686	1877	855
687	1880	852
688	1882	849
689	1885	846
690	1887	844
691	1890	841
692	1892	838
693	1895	835
694	1898	833
695	1901	830
696	1903	827
697	1906	824
698	1909	822
699	1911	819
700	1914	816
701	1916	813
702	1919	810
703	1921	808
704	1924	805
705	1927	802
706	1929	799
707	1932	796
708	1934	793
709	1936	791
710	1939	788
711	1941	785
712	1944	782
713	1946	779
714	1949	777
715	1951	774
716	1954	771
717	1956	768
718	1959	765
719	1961	762
720	1964	760
721	1966	757
722	1969	754
723	1971	751
724	1974	748
725	1977	746
726	1979	743
727	1982	740
728	1984	737
729	1987	735
730	1989	732
731	1992	729
732	1995	726
733	1997	723
734	1999	721
735	2002	718
736	2005	715
737	2007	712
738	2010	710
739	2012	707
740	2015	704
741	2017	701
742	2020	698
743	2022	696
744	2025	693
745	2028	690
746	2030	687
747	2033	685
748	2035	682
749	2038	679
750	2041	676
751	2043	674
752	2046	671
753	2048	668
754	2051	665
755	2054	663
756	2056	660
757	2059	657
758	2061	654
759	2064	651
760	2066	649
761	2069	646
762	2072	643
763	2074	640
764	2077	638
765	2079	635
766	2082	632
767	2084	629
768	2087	627
769	2090	624
770	2093	621
771	2096	619
772	2099	616
773	2102	613
774	2104	611
775	2107	608
776	2109	605
777	2112	602
778	2114	599
779	2117	597
780	2120	594
781	2123	592
782	2126	589
783	2129	586
784	2132	583
785	2134	581
786	2137	578
787	2139	575
788	2142	572
789	2144	570
790	2147	567
791	2149	564
792	2152	561
793	2155	559
794	2157	556
795	2160	553
796	2162	550
797	2165	548
798	2167	545
799	2170	542
800	2172	539
801	2175	537
802	2178	534
803	2180	531
804	2183	528
805	2185	526
806	2188	523
807	2190	520
808	2193	517
809	2196	515
810	2198	512
811	2201	509
